"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9"
"2466","0000",220425.00,517445.00,1131680.00,45205.00,292300.00,609070.00,1187260.00,644685.00
"24660001","0001",0.00,325.00,260.00,5.00,0.00,345.00,570.00,35.00
"24660002","0002",0.00,275.00,240.00,5.00,15.00,250.00,395.00,70.00
"24660003","0003",0.00,165.00,135.00,0.00,10.00,155.00,320.00,0.00
"24660004","0004",0.00,150.00,125.00,5.00,0.00,200.00,280.00,0.00
"24660005","0005",0.00,125.00,110.00,0.00,0.00,135.00,225.00,0.00
"24660006","0006",5.00,225.00,175.00,0.00,10.00,195.00,340.00,15.00
"24660007","0007",0.00,400.00,275.00,0.00,10.00,355.00,655.00,85.00
"24660008","0008",0.00,295.00,225.00,0.00,15.00,255.00,450.00,40.00
"24660009","0009",0.00,120.00,120.00,0.00,0.00,160.00,265.00,25.00
"24660010","0010",5.00,340.00,265.00,5.00,0.00,220.00,455.00,30.00
"24660011","0011",5.00,365.00,270.00,5.00,20.00,315.00,555.00,85.00
"24660012","0012",10.00,435.00,375.00,5.00,15.00,485.00,745.00,90.00
"24660013","0013",0.00,275.00,195.00,5.00,10.00,225.00,455.00,80.00
"24660014","0014",5.00,280.00,240.00,5.00,10.00,290.00,460.00,130.00
"24660015","0015",5.00,295.00,140.00,0.00,0.00,215.00,415.00,10.00
"24660016","0016",5.00,350.00,340.00,0.00,20.00,425.00,645.00,50.00
"24660017","0017",5.00,320.00,180.00,0.00,15.00,285.00,560.00,25.00
"24660020","0020",0.00,245.00,190.00,0.00,10.00,180.00,380.00,25.00
"24660021","0021",0.00,390.00,170.00,5.00,10.00,170.00,450.00,90.00
"24660022","0022",0.00,205.00,130.00,0.00,0.00,125.00,310.00,10.00
"24660023","0023",5.00,330.00,195.00,0.00,0.00,255.00,375.00,135.00
"24660024","0024",5.00,325.00,245.00,5.00,10.00,280.00,450.00,115.00
"24660025","0025",0.00,325.00,160.00,0.00,10.00,300.00,465.00,80.00
"24660026","0026",0.00,490.00,135.00,0.00,10.00,100.00,240.00,15.00
"24660027","0027",10.00,340.00,220.00,0.00,20.00,255.00,540.00,75.00
"24660028","0028",0.00,190.00,145.00,0.00,0.00,135.00,240.00,80.00
"24660029","0029",0.00,225.00,155.00,5.00,0.00,220.00,285.00,70.00
"24660030","0030",5.00,630.00,425.00,10.00,35.00,520.00,980.00,170.00
"24660031","0031",0.00,275.00,225.00,5.00,15.00,220.00,375.00,110.00
"24660032","0032",5.00,280.00,180.00,5.00,15.00,290.00,415.00,60.00
"24660033","0033",10.00,505.00,385.00,5.00,30.00,500.00,840.00,135.00
"24660034","0034",0.00,175.00,175.00,0.00,15.00,170.00,300.00,20.00
"24660035","0035",0.00,195.00,260.00,0.00,10.00,275.00,465.00,45.00
"24660036","0036",0.00,460.00,320.00,5.00,10.00,430.00,715.00,80.00
"24660037","0037",0.00,400.00,240.00,0.00,15.00,335.00,560.00,115.00
"24660038","0038",5.00,390.00,175.00,0.00,15.00,260.00,490.00,65.00
"24660039","0039",5.00,345.00,140.00,5.00,0.00,210.00,390.00,65.00
"24660040","0040",5.00,255.00,195.00,5.00,15.00,200.00,425.00,45.00
"24660041","0041",5.00,335.00,220.00,0.00,10.00,250.00,455.00,45.00
"24660042","0042",5.00,375.00,200.00,5.00,0.00,255.00,450.00,105.00
"24660043","0043",5.00,270.00,155.00,0.00,20.00,165.00,335.00,105.00
"24660044","0044",0.00,105.00,85.00,0.00,0.00,115.00,180.00,0.00
"24660045","0045",0.00,240.00,210.00,0.00,0.00,190.00,360.00,25.00
"24660046","0046",5.00,265.00,170.00,0.00,10.00,220.00,340.00,50.00
"24660047","0047",0.00,220.00,145.00,5.00,0.00,135.00,325.00,30.00
"24660048","0048",0.00,310.00,190.00,5.00,10.00,265.00,480.00,30.00
"24660049","0049",0.00,345.00,140.00,0.00,20.00,250.00,455.00,65.00
"24660050","0050",0.00,350.00,180.00,5.00,15.00,210.00,530.00,70.00
"24660051","0051",0.00,250.00,125.00,5.00,20.00,195.00,305.00,20.00
"24660052","0052",0.00,360.00,195.00,0.00,10.00,345.00,550.00,35.00
"24660053","0053",5.00,220.00,175.00,0.00,15.00,190.00,340.00,50.00
"24660054","0054",5.00,295.00,175.00,0.00,10.00,305.00,480.00,30.00
"24660055","0055",5.00,380.00,205.00,0.00,25.00,275.00,530.00,45.00
"24660056","0056",0.00,315.00,180.00,0.00,10.00,270.00,450.00,25.00
"24660057","0057",20.00,540.00,305.00,5.00,35.00,450.00,800.00,140.00
"24660058","0058",5.00,190.00,140.00,0.00,15.00,105.00,290.00,10.00
"24660059","0059",10.00,260.00,140.00,5.00,0.00,160.00,390.00,50.00
"24660060","0060",0.00,220.00,150.00,0.00,0.00,205.00,340.00,40.00
"24660061","0061",5.00,320.00,230.00,0.00,15.00,300.00,445.00,110.00
"24660062","0062",5.00,260.00,160.00,5.00,10.00,195.00,345.00,40.00
"24660063","0063",5.00,365.00,225.00,5.00,10.00,270.00,540.00,65.00
"24660064","0064",10.00,305.00,280.00,10.00,10.00,265.00,485.00,90.00
"24660065","0065",15.00,280.00,255.00,10.00,30.00,270.00,445.00,160.00
"24660066","0066",5.00,275.00,220.00,0.00,10.00,245.00,335.00,135.00
"24660067","0067",5.00,285.00,255.00,5.00,0.00,290.00,445.00,100.00
"24660068","0068",15.00,215.00,220.00,10.00,55.00,210.00,310.00,155.00
"24660069","0069",10.00,340.00,230.00,5.00,10.00,220.00,430.00,85.00
"24660070","0070",10.00,270.00,195.00,10.00,25.00,270.00,385.00,125.00
"24660071","0071",0.00,285.00,230.00,10.00,10.00,200.00,370.00,115.00
"24660072","0072",10.00,255.00,275.00,15.00,20.00,260.00,380.00,155.00
"24660073","0073",0.00,270.00,210.00,0.00,20.00,180.00,380.00,105.00
"24660074","0074",5.00,200.00,235.00,5.00,10.00,280.00,370.00,70.00
"24660075","0075",5.00,235.00,190.00,5.00,20.00,295.00,460.00,70.00
"24660076","0076",10.00,240.00,250.00,5.00,10.00,225.00,385.00,115.00
