COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10
2466,0,2004265,262290,486845,1185020,45860,201310,416430,1168390,652730
24660001,1,651,5,310,290,5,0,275,555,35
24660002,2,542,5,280,255,0,15,190,475,40
24660003,3,303,5,165,130,5,0,95,265,30
24660004,4,273,5,130,135,5,0,145,285,10
24660005,5,231,0,135,100,0,0,90,235,55
24660006,6,417,0,235,180,5,10,200,330,60
24660007,7,685,0,390,285,5,0,295,555,80
24660008,8,491,5,265,210,0,0,200,405,70
24660009,9,236,0,120,110,0,0,90,200,10
24660010,10,709,5,335,320,5,15,200,540,45
24660011,11,847,5,535,305,5,0,225,650,90
24660012,12,1065,10,530,515,10,25,515,870,190
24660013,13,533,5,295,235,0,0,160,380,95
24660014,14,527,5,265,250,10,0,285,420,130
24660015,15,484,10,315,160,0,0,235,365,75
24660016,16,688,5,355,330,5,0,335,505,220
24660017,17,515,5,295,210,5,0,200,430,90
24660020,20,455,0,255,195,5,0,155,385,40
24660021,21,586,0,395,180,5,10,225,520,150
24660022,22,342,5,195,140,0,10,90,285,40
24660023,23,541,10,315,210,0,0,200,390,130
24660024,24,625,5,335,265,5,10,235,510,90
24660025,25,589,5,320,225,5,0,195,415,55
24660026,26,754,5,145,75,0,0,70,190,15
24660027,27,591,5,360,230,0,0,240,480,60
24660028,28,356,5,195,155,5,0,155,250,95
24660029,29,402,0,210,185,0,0,170,290,90
24660030,30,1043,10,560,445,10,0,380,755,255
24660031,31,520,5,255,255,5,15,240,395,100
24660032,32,486,10,275,200,0,0,270,485,55
24660033,33,905,5,480,410,5,15,360,775,135
24660034,34,355,0,190,165,0,0,165,315,65
24660035,35,438,0,200,235,0,0,195,380,105
24660036,36,788,5,465,315,5,15,295,675,85
24660037,37,630,0,375,245,0,10,295,490,135
24660038,38,568,5,355,210,0,0,250,510,70
24660039,39,494,0,320,165,5,0,210,450,25
24660040,40,480,0,255,195,5,15,175,345,110
24660041,41,602,5,395,200,0,0,220,435,100
24660042,42,574,10,355,210,0,15,200,405,135
24660043,43,428,10,270,145,0,10,160,300,70
24660044,44,377,0,130,130,0,0,100,220,20
24660045,45,459,5,235,180,5,10,150,325,30
24660046,46,426,20,170,175,0,0,165,315,35
24660047,47,391,0,220,165,0,0,145,360,35
24660048,48,473,5,275,190,0,0,205,405,70
24660049,49,514,10,335,165,0,20,175,405,105
24660050,50,586,5,350,230,0,0,195,470,110
24660051,51,390,0,205,180,0,0,215,370,35
24660052,52,531,5,300,215,5,0,200,465,40
24660053,53,442,10,230,200,5,30,155,295,90
24660054,54,498,15,255,225,10,0,225,510,35
24660055,55,601,5,380,210,5,0,245,450,50
24660056,56,583,5,335,240,5,0,345,555,95
24660057,57,955,15,540,385,5,15,325,695,110
24660058,58,418,0,215,135,5,0,115,315,15
24660059,59,554,5,300,190,5,0,175,405,75
24660060,60,566,0,265,280,0,10,190,445,80
24660061,61,603,10,290,275,5,0,240,425,85
24660062,62,495,5,300,185,5,0,180,445,110
24660063,63,695,10,425,260,0,0,240,550,120
24660064,64,670,5,375,285,0,0,270,460,155
24660065,65,590,10,285,285,15,15,200,440,95
24660066,66,518,5,290,215,10,0,205,485,110
24660067,67,541,5,275,240,5,10,225,440,100
24660068,68,508,20,230,235,15,10,140,340,105
24660069,69,636,10,360,250,10,0,225,445,135
24660070,70,486,15,255,210,5,25,160,355,125
24660071,71,540,5,285,235,10,10,245,355,155
24660072,72,594,10,290,280,20,10,285,410,220
24660073,73,460,0,230,220,5,10,170,355,60
24660074,74,449,15,200,230,5,0,205,315,130
24660075,75,469,0,240,220,10,0,225,405,125
24660076,76,493,20,205,250,10,15,130,345,55
24660077,77,459,5,210,245,0,20,170,420,80
